artwork_id,title,category,medium,date,height_cm,width_cm,image_url_template,collecting_institution,image_url_normalized
4eb1c899c8004a000100deb3,Portrait of a Young Woman with a White Coif,Painting,Oil and tempera on panel,1541,,,https://d32dm0rphc51dk.cloudfront.net/liVgLUFu6xbnj4WXLn9UGA/{image_version}.jpg,,https://d32dm0rphc51dk.cloudfront.net/liVgLUFu6xbnj4WXLn9UGA/normalized.jpg
4f99da873314020001000700,The Alba Madonna,Painting,Oil on panel transferred to canvas,ca. 1510,,,https://d32dm0rphc51dk.cloudfront.net/lnnzsg3vJ1oRe5eSctM0WA/{image_version}.jpg,"National Gallery of Art, Washington D.C.",https://d32dm0rphc51dk.cloudfront.net/lnnzsg3vJ1oRe5eSctM0WA/normalized.jpg
515b1d46056351dc33001014,The Fall of Man [middle panel],Painting,Oil on hardboard transferred from panel,ca. 1535,,,https://d32dm0rphc51dk.cloudfront.net/kBOdyvyltnVHWpIkJKWJ0g/{image_version}.jpg,"National Gallery of Art, Washington D.C.",https://d32dm0rphc51dk.cloudfront.net/kBOdyvyltnVHWpIkJKWJ0g/normalized.jpg
515ce23e7b7057eb4c00115c,The Rule of Mars [right panel],Painting,Oil on hardboard transferred from panel,ca. 1535,,,https://d32dm0rphc51dk.cloudfront.net/hidKPTZjD22r5zhbcMEmEA/{image_version}.jpg,"National Gallery of Art, Washington D.C.",https://d32dm0rphc51dk.cloudfront.net/hidKPTZjD22r5zhbcMEmEA/normalized.jpg
515d6a15b5907b33b1004797,Madonna and Child with Saint Mary Magdalene and Saint Catherine [right panel],Painting,Tempera on panel transferred to canvas,ca. 1330/1340,,,https://d32dm0rphc51dk.cloudfront.net/-SeTFEk1liCxohSF0RcS4w/{image_version}.jpg,"National Gallery of Art, Washington D.C.",https://d32dm0rphc51dk.cloudfront.net/-SeTFEk1liCxohSF0RcS4w/normalized.jpg
516cb3d3b83d23c471000e77,Madonna and Child with Saint Mary Magdalene and Saint Catherine [middle panel],Painting,Tempera on panel transferred to canvas,ca. 1330/1340,,,https://d32dm0rphc51dk.cloudfront.net/_ZFQwzIj4t-G_BxlVND7nw/{image_version}.jpg,"National Gallery of Art, Washington D.C.",https://d32dm0rphc51dk.cloudfront.net/_ZFQwzIj4t-G_BxlVND7nw/normalized.jpg
516cc9cb9ad2d32bec0005bc,Madonna and Child with Saint Mary Magdalene and Saint Catherine [left panel],Painting,Tempera on panel transferred to canvas,ca. 1330/1340,,,https://d32dm0rphc51dk.cloudfront.net/Aw1iWTL2RpiMlAfUjL1VCA/{image_version}.jpg,"National Gallery of Art, Washington D.C.",https://d32dm0rphc51dk.cloudfront.net/Aw1iWTL2RpiMlAfUjL1VCA/normalized.jpg
516dfb369ad2d32b27000ca3,The Alba Madonna,Painting,Oil on panel transferred to canvas,ca. 1510,,,https://d32dm0rphc51dk.cloudfront.net/oV5bxVUG6-i4klDbklAyRA/{image_version}.jpg,"National Gallery of Art, Washington D.C.",https://d32dm0rphc51dk.cloudfront.net/oV5bxVUG6-i4klDbklAyRA/normalized.jpg
516dfd3db31e2b2270000cfc,The Rule of Bacchus [left panel],Painting,Oil on hardboard transferred from panel,ca. 1535,,,https://d32dm0rphc51dk.cloudfront.net/-O4DK_Qa5jb8tEff90Mv5A/{image_version}.jpg,"National Gallery of Art, Washington D.C.",https://d32dm0rphc51dk.cloudfront.net/-O4DK_Qa5jb8tEff90Mv5A/normalized.jpg
51e9a21f8b3b812989000777,"Wall Painting with Horses, Rhinoceroses, and Aurochs",Painting,Paint on limestone,30000 BCE -28000 BCE,,,https://d32dm0rphc51dk.cloudfront.net/9yOfKKnc4kQC--yqRlFKbw/{image_version}.jpg,"Vallon-Pont-d'Arc, Ardèche Gorge, France",https://d32dm0rphc51dk.cloudfront.net/9yOfKKnc4kQC--yqRlFKbw/normalized.jpg
