,name,id,gender,birthday,deathday,hometown,location,nationality,sortable_name,slug,problem
0,Hans Holbein the Younger,4eb1c838b4da19000100cece,male,1497,1543,"Augsburg, Germany","London, UK",German,Hans Holbein the Younger,hans-holbein-the-younger,
1,Raphael,4edfe7b17cb5c400010000eb,male,1483,1520,"Urbino, Italy","Rome, Italy",Italian,Raphael,raphael,
2,Workshop of Albrecht Altdorfer,515b1ac59562c8fee2000c6b,no-info,no-info,no-info,no-info,no-info,no-info,Workshop of Albrecht Altdorfer,workshop-of-albrecht-altdorfer,
3,Workshop of Albrecht Altdorfer,515b1ac59562c8fee2000c6b,no-info,no-info,no-info,no-info,no-info,no-info,Workshop of Albrecht Altdorfer,workshop-of-albrecht-altdorfer,
4,Pietro Lorenzetti,515d66a05eeb1c904c00486c,male,1280,1348,"Siena, Italy","Siena, Italy",Italian,Lorenzetti Pietro,pietro-lorenzetti,
5,Pietro Lorenzetti,515d66a05eeb1c904c00486c,male,1280,1348,"Siena, Italy","Siena, Italy",Italian,Lorenzetti Pietro,pietro-lorenzetti,
6,Pietro Lorenzetti,515d66a05eeb1c904c00486c,male,1280,1348,"Siena, Italy","Siena, Italy",Italian,Lorenzetti Pietro,pietro-lorenzetti,
7,Raphael,4edfe7b17cb5c400010000eb,male,1483,1520,"Urbino, Italy","Rome, Italy",Italian,Raphael,raphael,
8,Workshop of Albrecht Altdorfer,515b1ac59562c8fee2000c6b,no-info,no-info,no-info,no-info,no-info,no-info,Workshop of Albrecht Altdorfer,workshop-of-albrecht-altdorfer,
9,Melchior Broederlam,52026ff39c18db8cf300001c,male,1350,1409,no-info,no-info,no-info,Broederlam Melchior,melchior-broederlam,
10,"Giovanni Battista Gaulli, called Baciccio",5155f3e5b88851af51000220,male,1639,1709,"Genoa, Italy","Rome, Italy",Italian,"Giovanni Battista Gaulli, called Baciccio",giovanni-battista-gaulli-called-baciccio,
11,Cornelis Ploos van Amstel after Jan van Goyen,515b00a69562c8fee200008d,no-info,no-info,no-info,no-info,no-info,no-info,Cornelis Ploos van Amstel after Jan van Goyen,cornelis-ploos-van-amstel-after-jan-van-goyen,
12,Johannes and Lucas van Doetechum after the Master of the Small Landscapes,515b00a6223afad71600009f,no-info,no-info,no-info,no-info,no-info,no-info,Johannes and Lucas van Doetechum after the Master of the Small Landscapes,johannes-and-lucas-van-doetechum-after-the-master-of-the-small-landscapes,
13,Jacques Callot,506ba2b74d985b000200034d,male,1592,1635,"Nancy, France","Nancy, France",French,Callot Jacques,jacques-callot,
14,Camille Pissarro,4eb2e9d26e2a5c0001008d80,male,1830,1903,"Charlotte Amalie, St. Thomas, U.S. Virgin Islands","Paris, France",French,Pissarro Camille,camille-pissarro,
15,Auguste Rodin,4e9764016ba71200010022d9,male,1840,1917,"Paris, France","Meudon, France",French,Rodin Auguste,auguste-rodin,
16,Auguste Lepère,5159f193a13947dd1d00005d,male,1849,1918,"Paris, France",no-info,French,Lepère Auguste,auguste-lepere,
17,Berthe Morisot,4eb02539f21e2500010014a2,female,1841,1895,"Bourges, France","Paris, France",French,Morisot Berthe,berthe-morisot,
18,Alphonse Legros,5153885ed70fd7ef9d00005d,male,1837,1911,"Dijon, France","Watford, UK",French,Legros Alphonse,alphonse-legros,
19,Jacques Callot,506ba2b74d985b000200034d,male,1592,1635,"Nancy, France","Nancy, France",French,Callot Jacques,jacques-callot,
20,Alphonse Legros,5153885ed70fd7ef9d00005d,male,1837,1911,"Dijon, France","Watford, UK",French,Legros Alphonse,alphonse-legros,
21,Francisco de Goya,4d8b92b44eb68a1b2c0003fe,male,1746,1828,"Fuendetodos, Spain","Madrid, Spain",Spanish,Goya Francisco de,francisco-de-goya,
22,Paul Gauguin,4d8b927c4eb68a1b2c00015a,male,1848,1903,"Paris, France","Atuona, French Polynesia",French,Gauguin Paul,paul-gauguin,
23,Henri de Toulouse-Lautrec,4edf9b8890192b0001001789,male,1864,1901,"Albi, France","Paris, France",French,de Toulouse-Lautrec Henri,henri-de-toulouse-lautrec,
24,Mary Cassatt,4d8b92b74eb68a1b2c00041e,female,1844,1926,"Philadelphia, PA, USA","Paris, France",American,Cassatt Mary,mary-cassatt,
25,Jean-Louis Forain,5159f18d00b0bafa930002c4,male,1852,1931,"Reims, France",no-info,French,Forain Jean-Louis,jean-louis-forain,
26,Honoré Daumier,4eb1ac352135c20001001f96,male,1808,1879,"Marseille, France","Valmondois, France",French,Daumier Honoré,honore-daumier,
27,Alphonse Legros,5153885ed70fd7ef9d00005d,male,1837,1911,"Dijon, France","Watford, UK",French,Legros Alphonse,alphonse-legros,
28,Annibale Carracci,50fd639c79e445f42400013a,male,1560,1609,"Bologna, Italy","Rome, Italy",Italian,Annibale Carracci,annibale-carracci-1,
29,Henri de Toulouse-Lautrec,4edf9b8890192b0001001789,male,1864,1901,"Albi, France","Paris, France",French,de Toulouse-Lautrec Henri,henri-de-toulouse-lautrec,
30,Jean-Louis Forain,5159f18d00b0bafa930002c4,male,1852,1931,"Reims, France",no-info,French,Forain Jean-Louis,jean-louis-forain,
31,Henri de Toulouse-Lautrec,4edf9b8890192b0001001789,male,1864,1901,"Albi, France","Paris, France",French,de Toulouse-Lautrec Henri,henri-de-toulouse-lautrec,
32,Mary Cassatt,4d8b92b74eb68a1b2c00041e,female,1844,1926,"Philadelphia, PA, USA","Paris, France",American,Cassatt Mary,mary-cassatt,
33,Jacques Callot,506ba2b74d985b000200034d,male,1592,1635,"Nancy, France","Nancy, France",French,Callot Jacques,jacques-callot,
34,Henri de Toulouse-Lautrec,4edf9b8890192b0001001789,male,1864,1901,"Albi, France","Paris, France",French,de Toulouse-Lautrec Henri,henri-de-toulouse-lautrec,
35,Elizabeth Gould,515b079f38ad2d78ca00010b,no-info,no-info,no-info,no-info,no-info,no-info,Gould Elizabeth,elizabeth-gould,
36,David Lucas after John Constable,515b079f38ad2dfc7700015c,no-info,no-info,no-info,no-info,no-info,no-info,David Lucas after John Constable,david-lucas-after-john-constable,
37,Jean Morin after Philippe de Champaigne,515b07a0056351dc330002ec,no-info,no-info,no-info,no-info,no-info,no-info,Jean Morin after Philippe de Champaigne,jean-morin-after-philippe-de-champaigne,
38,P. Frieselhem,515b07a338ad2d78ca000127,no-info,no-info,no-info,no-info,no-info,no-info,Frieselhem P.,p-frieselhem,
39,John Crome,515b07a638ad2dfc7700018d,male,1768,1821,"Norwich, USA",no-info,no-info,Crome John,john-crome,
40,Jules Chéret,515b07a7223afa7ea8000181,male,1836,1932,"Paris, France","Paris, France",French,Chéret Jules,jules-cheret,
41,After Jean-Baptiste Huet I,5a20ea222a893a0a9e5f2d7b,,no-info,no-info,no-info,no-info,no-info,After Jean-Baptiste Huet I,after-jean-baptiste-huet-i,
42,Rembrandt van Rijn,4d8b929c4eb68a1b2c0002e2,male,1606,1669,"Leiden, Netherlands","Amsterdam and Leiden, Holland",Dutch,Rembrandt van Rijn,rembrandt-van-rijn,
43,Louis Le Coeur after Nicolas Lavreince,515b07a838ad2dfc770001a9,no-info,no-info,no-info,no-info,no-info,no-info,Louis Le Coeur after Nicolas Lavreince,louis-le-coeur-after-nicolas-lavreince,
44,Charles Meryon,515b07a3223afa7ea8000173,male,1821,1868,"Paris, France",no-info,French,Meryon Charles,charles-meryon,
45,Rembrandt van Rijn,4d8b929c4eb68a1b2c0002e2,male,1606,1669,"Leiden, Netherlands","Amsterdam and Leiden, Holland",Dutch,Rembrandt van Rijn,rembrandt-van-rijn,
46,Elizabeth Gould,515b079f38ad2d78ca00010b,no-info,no-info,no-info,no-info,no-info,no-info,Gould Elizabeth,elizabeth-gould,
47,Auguste Lepère,5159f193a13947dd1d00005d,male,1849,1918,"Paris, France",no-info,French,Lepère Auguste,auguste-lepere,
48,James Abbott McNeill Whistler,4f39397e6779d800010009fa,male,1834,1903,"Lowell, MA, United States","London, UK",American,Whistler James Abbott McNeill,james-abbott-mcneill-whistler,
49,Alphonse Legros,5153885ed70fd7ef9d00005d,male,1837,1911,"Dijon, France","Watford, UK",French,Legros Alphonse,alphonse-legros,
50,Honoré Daumier,4eb1ac352135c20001001f96,male,1808,1879,"Marseille, France","Valmondois, France",French,Daumier Honoré,honore-daumier,
51,Rembrandt van Rijn,4d8b929c4eb68a1b2c0002e2,male,1606,1669,"Leiden, Netherlands","Amsterdam and Leiden, Holland",Dutch,Rembrandt van Rijn,rembrandt-van-rijn,
52,Honoré Daumier,4eb1ac352135c20001001f96,male,1808,1879,"Marseille, France","Valmondois, France",French,Daumier Honoré,honore-daumier,
53,Honoré Daumier,4eb1ac352135c20001001f96,male,1808,1879,"Marseille, France","Valmondois, France",French,Daumier Honoré,honore-daumier,
54,Francisco de Goya,4d8b92b44eb68a1b2c0003fe,male,1746,1828,"Fuendetodos, Spain","Madrid, Spain",Spanish,Goya Francisco de,francisco-de-goya,
55,Giovanni Battista Piranesi,4eb3016b48eeb8000100eb13,male,1720,1778,"Mogliano, Italy","Rome, Italy",Italian,Piranesi Giovanni Battista,giovanni-battista-piranesi,
56,Thomas Rowlandson,515b045b9562c8fee20000d5,male,1756,1827,"London, UK","London, UK",British,Rowlandson Thomas,thomas-rowlandson,
57,Jan Lievens,4ee68ebea8d5f70001001a6c,male,1607,1674,no-info,no-info,no-info,Lievens Jan,jan-lievens,
58,Salvatore Tresca after Louis-Léopold Boilly,515b0aea223afae9a50001ef,no-info,no-info,no-info,no-info,no-info,no-info,Salvatore Tresca after Louis-Léopold Boilly,salvatore-tresca-after-louis-leopold-boilly,
59,Niccolò Schiavonetti after Francis Wheatley,515b0aea9562c86fb80003d4,no-info,no-info,no-info,no-info,no-info,no-info,Niccolò Schiavonetti after Francis Wheatley,niccolo-schiavonetti-after-francis-wheatley,
60,George Scharf after John Flaxman,515b0aec223afa7ea80002fb,no-info,no-info,no-info,no-info,no-info,no-info,George Scharf after John Flaxman,george-scharf-after-john-flaxman,
61,After Jean-Baptiste Oudry,59d6d0aa9c18db247ae320ac,,no-info,no-info,no-info,no-info,no-info,After Jean-Baptiste Oudry,after-jean-baptiste-oudry,
62,Antoine Louis François Sergent-Marceau,515b0af0223afae9a5000202,male,1751,1847,"Chartres, France","Nice, France",French,Sergent-Marceau Antoine Louis François,antoine-louis-francois-sergent-marceau,
63,Jan Christiaan Sepp,515b0aee9562c86fb80003e9,no-info,no-info,no-info,no-info,no-info,no-info,Jan Christiaan Sepp,jan-christiaan-sepp,
64,Louis-Marin Bonnet,515b0e1c9562c8fee20005a7,no-info,no-info,no-info,no-info,no-info,no-info,Bonnet Louis-Marin,louis-marin-bonnet,
65,Laurent Cars after Jean-Baptiste Oudry,515b0afa223afa7ea8000311,no-info,no-info,no-info,no-info,no-info,no-info,Laurent Cars after Jean-Baptiste Oudry,laurent-cars-after-jean-baptiste-oudry,
66,W. Hart,515b0afa05635113a5000578,no-info,no-info,no-info,no-info,no-info,British,Hart W.,w-hart,
67,Jean Huber,515b0afb223afae9a500022c,male,1721,no-info,no-info,no-info,no-info,Huber Jean,jean-huber,
68,Johannes and Lucas van Doetechum after Master of the Small Landscapes,515b0afc223afa7ea800031f,no-info,no-info,no-info,no-info,no-info,no-info,Johannes and Lucas van Doetechum after Master of the Small Landscapes,johannes-and-lucas-van-doetechum-after-master-of-the-small-landscapes,
69,Joseph Mallord William Turner and Thomas Hodgetts,515b0afe9562c8fee20003fd,no-info,no-info,no-info,no-info,no-info,no-info,Joseph Mallord William Turner and Thomas Hodgetts,joseph-mallord-william-turner-and-thomas-hodgetts,
70,Philibert-Louis Debucourt,515b0afe9562c86fb8000425,male,1765,1832,no-info,no-info,no-info,Debucourt Philibert-Louis,philibert-louis-debucourt,
71,Albrecht Dürer,4eaf0d2e6899c80001008f80,male,1471,1528,"Nuremberg, Germany","Nuremberg, Germany",German,Dürer Albrecht,albrecht-durer,
